id,path,category,width,height,states,nine_slice,accent,usage,source_docs
bar.resource.blank.disabled,assets/bars/resource.blank.disabled.png,taskbar-component-background,82,24,disabled,,green,resource taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.resource.sheet,assets/bars/resource.sheet.png,taskbar-component-sheet,328,24,normal|active|warning|disabled,,green,resource taskbar example state sheet,06-screen-concepts.md;KorpOsShell.css
bar.resource.blank.sheet,assets/bars/resource.blank.sheet.png,taskbar-component-background-sheet,328,24,normal|active|warning|disabled,,green,resource blank state sheet for dynamic runtime text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.privacy.normal,assets/bars/privacy.normal.png,taskbar-component,146,24,normal,,green,privacy taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.privacy.blank.normal,assets/bars/privacy.blank.normal.png,taskbar-component-background,146,24,normal,,green,privacy taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.privacy.active,assets/bars/privacy.active.png,taskbar-component,146,24,active,,green,privacy taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.privacy.blank.active,assets/bars/privacy.blank.active.png,taskbar-component-background,146,24,active,,green,privacy taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.privacy.warning,assets/bars/privacy.warning.png,taskbar-component,146,24,warning,,amber,privacy taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.privacy.blank.warning,assets/bars/privacy.blank.warning.png,taskbar-component-background,146,24,warning,,amber,privacy taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.privacy.disabled,assets/bars/privacy.disabled.png,taskbar-component,146,24,disabled,,green,privacy taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.privacy.blank.disabled,assets/bars/privacy.blank.disabled.png,taskbar-component-background,146,24,disabled,,green,privacy taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.privacy.sheet,assets/bars/privacy.sheet.png,taskbar-component-sheet,584,24,normal|active|warning|disabled,,green,privacy taskbar example state sheet,06-screen-concepts.md;KorpOsShell.css
bar.privacy.blank.sheet,assets/bars/privacy.blank.sheet.png,taskbar-component-background-sheet,584,24,normal|active|warning|disabled,,green,privacy blank state sheet for dynamic runtime text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.clock.normal,assets/bars/clock.normal.png,taskbar-component,116,24,normal,,neutral,clock taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.clock.blank.normal,assets/bars/clock.blank.normal.png,taskbar-component-background,116,24,normal,,neutral,clock taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.clock.active,assets/bars/clock.active.png,taskbar-component,116,24,active,,neutral,clock taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.clock.blank.active,assets/bars/clock.blank.active.png,taskbar-component-background,116,24,active,,neutral,clock taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.clock.minimized,assets/bars/clock.minimized.png,taskbar-component,116,24,minimized,,neutral,clock taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.clock.blank.minimized,assets/bars/clock.blank.minimized.png,taskbar-component-background,116,24,minimized,,neutral,clock taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.clock.disabled,assets/bars/clock.disabled.png,taskbar-component,116,24,disabled,,neutral,clock taskbar component example with raster label,06-screen-concepts.md;KorpOsShell.css
bar.clock.blank.disabled,assets/bars/clock.blank.disabled.png,taskbar-component-background,116,24,disabled,,neutral,clock taskbar background for runtime HTML/CSS text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.clock.sheet,assets/bars/clock.sheet.png,taskbar-component-sheet,464,24,normal|active|minimized|disabled,,neutral,clock taskbar example state sheet,06-screen-concepts.md;KorpOsShell.css
bar.clock.blank.sheet,assets/bars/clock.blank.sheet.png,taskbar-component-background-sheet,464,24,normal|active|minimized|disabled,,neutral,clock blank state sheet for dynamic runtime text,06-screen-concepts.md;KorpOsShell.css;11-typography-and-brand.md
bar.tray.privacy,assets/bars/tray.privacy.png,taskbar-tray-icon,16,16,,,,privacy tray icon,05-privacy-model.md;06-screen-concepts.md
bar.tray.local,assets/bars/tray.local.png,taskbar-tray-icon,16,16,,,,local tray icon,05-privacy-model.md;06-screen-concepts.md
bar.tray.audio,assets/bars/tray.audio.png,taskbar-tray-icon,16,16,,,,audio tray icon,05-privacy-model.md;06-screen-concepts.md
bar.tray.nosync,assets/bars/tray.nosync.png,taskbar-tray-icon,16,16,,,,nosync tray icon,05-privacy-model.md;06-screen-concepts.md
bar.tray.notice,assets/bars/tray.notice.png,taskbar-tray-icon,16,16,,,,notice tray icon,05-privacy-model.md;06-screen-concepts.md
bar.tray.sheet,assets/bars/tray.sheet.png,taskbar-tray-sheet,80,16,privacy|local|audio|nosync|notice,,,System tray icon sheet,05-privacy-model.md;06-screen-concepts.md
window.module.active,assets/windows/shells/window.module.active.320x220.png,window-shell,320,220,active,"8,30,8,8",module,module window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.module.inactive,assets/windows/shells/window.module.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",module,module window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.module.compact.active,assets/windows/shells/window.module.active.183x223.png,window-shell-fixed,183,223,active,,module,Fixed authored 1x compact module shell with a 173x173 content viewport at x5 y28,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.module.compact.inactive,assets/windows/shells/window.module.inactive.183x223.png,window-shell-fixed,183,223,inactive,,module,Fixed authored 1x compact module shell with a 173x173 content viewport at x5 y28,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.module.nine-slice,assets/windows/nine_slice/window.module.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",module,Resizable module window frame,01-visual-style.md;06-screen-concepts.md
